% Paid,% оплачено
About,Подробнее
Jump to field,Перейти к ячейке
Print,Печать
Follow,Подписаться
Add a tag ...,Добавить тег ...
Shared With,Поделились с
Reviews,Обзоры
Attachments,Вложения
Attach File,Прикрепить файл
Priority,Приоритет
Complete By,Завершить к
Assign To,Исполнитель
Auto Repeat,Автоповтор
Reference,Справка
Logout,Выйти
Not Permitted,Не разрешено
Your Shortcuts,Быстрые команды
Reset Customizations,Сбросить кастомизации
Mark all as read,Отметить все как прочитанные
No Upcoming Events,Нет ближайших событий
Today's Events,События на сегодня
No New notifications,Нет новых уведомлений
Customize,Кастомизировать
List Settings,Настройки списка
List View,Список
Lists,Списки
Share URL,Поделиться ссылкой
Toggle Sidebar,Боковая панель
Import,Импорт
Most Used,Частота использования
Submit,Подтвердить
Not Like,не похож
Like,похож
Dashboard,Дашборд
Not Ancestors Of,не предок
Ancestors Of,предок
Not Descendants Of,не потомок
Descendants Of,потомок
Timespan,промежуток времени
Between,между
Is,является
Not In,не в
In,в
Not Equals,не равно
Equals,равно
Name,Имя
Show Saved,Показать сохранённые
Filter By,Фильтр
Filter Name,Имя
Edit Filters,Изменить фильтр
Save Filter,Сохранить фильтр
Apply Filters,Применить
Show Tags,Показать теги
Expand,Раскрыть
Expand All,Раскрыть все
Search,Поиск
Created By,Создано
Assigned To,Назначено
Background Jobs,Фоновые задачи
Toggle Theme,Сменить тему
Toggle Full Width,Открыть в полном размере
View Website,Посмотреть сайт
Reload,Перезагрузить
Session Defaults,Постоянные сессии
Help,Помощь
Administration,Администрирование
Modules,Модули
Integrations,Интеграции
Customization,Кастомизация
just now,только что
now,сейчас
Add Comment,Добавить комментарий
Saved,Сохранено
Settings,Настройки
Note,Заметка
ToDo,Задача
No Tags,Нет тегов
Insert Above,Добавить строку выше
Insert Below,Добавить строку ниже
Order Information,Информация о заказе
Shortcuts,Горячие клавиши
Ctrl + Down,Ctrl + Down
Ctrl + Up,Ctrl + Up
Permanently Cancel {0}?,Навсегда отменить {0}?
Permanently Submit {0}?,Навсегда подтвердить {0}?
From Date,С даты
To Date,До даты
Terms,Условия
Amended From,Возобновлено от документа
Sorry! I could not find what you were looking for.,"Извините! Не удалось найти, что вы ищете.",
More,Больше
Preview,Предпросмотр
No Letterhead,Без шапки
Select Letterhead,Выберите шапку
Select Network Printer,Выберите принтер в сети
Printer,Принтер
Previous Document,Предыдущий документ
Next Document,Следующий документ
Search for {0},Искать {0}
{0} List,Список {0}
{0} Tree,Дерево {0}
You haven't created a {0} yet,Ещё нет документов {0}
Create your first {0},Создайте первый документ {0}
Add a Filter,Добавить фильтр
Configure Columns,Настроить столбцы
Column Width,Ширина столбца
Add / Remove Columns,Добавить/убрать столбцы
The total column width cannot be more than 10.,Общее количество ширин столбцов не может быть больше 10
No Results found,Нет результатов
Search for anything,Ищите что угодно
{0} submitted this document {1},{0} подтвердили этот документ {1}
{0} submitted this document,{0} подтвердили этот документ
{0} cancelled this document {1},{0} отменили этот документ {1}
{0} cancelled this document,{0} отменили этот документ
{0} from {1} to {2},"{0} (было: {1}, стало: {2})"
{0} changed value of {1} {2},"{0} изменили значения: {1}, {2}"
{0} changed value of {1},{0} изменили значения: {1}
{0} from {1} to {2} in row #{3},"{0} (было: {1}, стало: {2} — строка #{3})"
{0} changed values for {1} {2},"{0} изменили значения: {1}, {2}"
{0} changed values for {1},"{0} изменили значения: {1}"
added rows for {0},добавили строки {0}
removed rows for {0},удалили строки {0}
{0} created this {1},{0} создали {1}
{0} edited this {1},{0} отредактировали {1}
Not found,Не найдено
No Data,Нет данных
